speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,locationPrivate,exoticCategory,region
dafgrt1,Dark-faced Ground-Tyrant,Muscisaxicola maclovianus,L4976925,Camino Vertedero,2018-09-29 16:00,200.0,-53.238511,-70.949631,True,-1,Magallanes
puyfin1,Puna Yellow-Finch,Sicalis lutea,L604963,MN Salar de Surire,2018-09-29 16:00,1.0,-18.7988649,-69.0871811,False,-1,Arica y Parinacota
rubmin1,Rufous-banded Miner,Geositta rufipennis,L2418503,PN Torres del Paine--Sendero entre porterías,2018-09-29 15:55,1.0,-51.000361,-72.7882004,False,-1,Magallanes
cliswa,Cliff Swallow,Petrochelidon pyrrhonota,L5050511,Valle del Río Camarones--Campos de alfalfa,2018-09-29 12:47,2.0,-19.1141103,-70.1313972,False,-1,Arica y Parinacota
rayfin1,Raimondi's Yellow-Finch,Sicalis raimondii,L5050511,Valle del Río Camarones--Campos de alfalfa,2018-09-29 12:47,300.0,-19.1141103,-70.1313972,False,-1,Arica y Parinacota
whshil1,White-sided Hillstar,Oreotrochilus leucopleurus,L516574,Chicauma--Roblería,2018-09-29 10:45,1.0,-33.1921563,-70.9749413,False,-1,Región Metropolitana de Santiago
margod,Marbled Godwit,Limosa fedoa,L636004,Estero Tongoy--Desembocadura,2018-09-29 09:01,1.0,-30.25497,-71.49359,False,-1,Coquimbo
diaplo1,Diademed Sandpiper-Plover,Phegornis mitchellii,L572426,PN Lauca--Las Cuevas,2018-09-29 08:55,5.0,-18.1670566,-69.4337654,False,-1,Arica y Parinacota
lotjae,Long-tailed Jaeger,Stercorarius longicaudus,L571139,Arica--Pelágico,2018-09-29 07:45,4.0,-18.4952381,-70.3791046,False,-1,Arica y Parinacota
swtgul1,Swallow-tailed Gull,Creagrus furcatus,L571139,Arica--Pelágico,2018-09-29 07:45,1.0,-18.4952381,-70.3791046,False,-1,Arica y Parinacota
sabgul,Sabine's Gull,Xema sabini,L571139,Arica--Pelágico,2018-09-29 07:45,6.0,-18.4952381,-70.3791046,False,-1,Arica y Parinacota
bfoboo,Blue-footed Booby,Sula nebouxii,L571139,Arica--Pelágico,2018-09-29 07:45,1.0,-18.4952381,-70.3791046,False,-1,Arica y Parinacota
jamfla1,James's Flamingo,Phoenicoparrus jamesi,L668852,Río Lluta--Desembocadura,2018-09-30 19:15,1.0,-18.4165392,-70.3224081,False,-1,Arica y Parinacota
grhgul,Gray-hooded Gull,Chroicocephalus cirrocephalus,L668852,Río Lluta--Desembocadura,2018-09-30 19:15,1.0,-18.4165392,-70.3224081,False,-1,Arica y Parinacota
burowl,Burrowing Owl,Athene cunicularia,L2333142,Parque Bicentenario de Cerrillos,2018-09-30 17:42,2.0,-33.4933788,-70.6995106,False,-1,Región Metropolitana de Santiago
lotmea1,Long-tailed Meadowlark,Leistes loyca,L2333142,Parque Bicentenario de Cerrillos,2018-09-30 17:42,14.0,-33.4933788,-70.6995106,False,-1,Región Metropolitana de Santiago
cliswa,Cliff Swallow,Petrochelidon pyrrhonota,L5050511,Valle del Río Camarones--Campos de alfalfa,2018-09-30 17:00,2.0,-19.1141103,-70.1313972,False,-1,Arica y Parinacota
rayfin1,Raimondi's Yellow-Finch,Sicalis raimondii,L5050511,Valle del Río Camarones--Campos de alfalfa,2018-09-30 17:00,30.0,-19.1141103,-70.1313972,False,-1,Arica y Parinacota
gyhsif1,Gray-hooded Sierra Finch,Phrygilus gayi,L1011175,Quebrada Escobares,2018-09-30 15:15,2.0,-33.0847099,-71.3012695,False,-1,Valparaíso
mallar3,Mallard,Anas platyrhynchos,L606195,Estero Catapilco--Desembocadura (Laguna Zapallar),2018-09-30 12:36,0.0,-32.6327613,-71.426518,False,1,Valparaíso
lotjae,Long-tailed Jaeger,Stercorarius longicaudus,L571139,Arica--Pelágico,2018-09-30 07:30,4.0,-18.4952381,-70.3791046,False,-1,Arica y Parinacota
wfwduc1,White-faced Whistling-Duck,Dendrocygna viduata,L7979954,"Unnamed Road, Maullín, Región de los Lagos, CL (-41.581, -73.639)",2018-10-01 15:30,2.0,-41.58052,-73.6385864,True,-1,Los Lagos
ruhgoo1,Ruddy-headed Goose,Chloephaga rubidiceps,L2473211,Desembocadura Río Santa Maria,2018-10-01 14:00,30.0,-53.6779,-70.9741259,True,-1,Magallanes
wepdov1,West Peruvian Dove,Zenaida meloda,L7977786,"1000 Isabel Riquelme, Lampa, Región Metropolitana, CL (-33,289, -70,888)",2018-10-01 11:43,2.0,-33.2888399,-70.8877304,True,-1,Región Metropolitana de Santiago
brnowl,Barn Owl,Tyto alba,L774555,Campus Sur -  Universidad de Chile,2018-10-01 11:20,1.0,-33.5708994,-70.6356955,False,-1,Región Metropolitana de Santiago
rubmin1,Rufous-banded Miner,Geositta rufipennis,L3309508,bahuales,2018-10-01 09:00,5.0,-50.6790568,-72.3326111,True,-1,Magallanes
chvtyr2,Chocolate-vented Tyrant,Neoxolmis rufiventris,L3309508,bahuales,2018-10-01 09:00,3.0,-50.6790568,-72.3326111,True,-1,Magallanes
rayfin1,Raimondi's Yellow-Finch,Sicalis raimondii,L5878510,Valle del Río Camarones--Sector bajo,2018-10-02 14:00,8.0,-19.1212468,-70.1391649,False,-1,Arica y Parinacota
thbsis1,Thick-billed Siskin,Spinus crassirostris,L571425,Belén--Bosque Queñua (Polylepis),2018-10-02 13:31,2.0,-18.4130883,-69.5071507,False,-1,Arica y Parinacota
cosswa1,Coscoroba Swan,Coscoroba coscoroba,L8001364,Bahía del Padre,2018-10-02 13:30,1.0,-33.6714934,-78.9382009,True,-1,Valparaíso
perter2,Peruvian Tern,Sternula lorata,L7981598,Hornitos (Antofagasta)--Playa Grande,2018-10-02 12:35,1.0,-22.8860045,-70.2886679,False,-1,Antofagasta
brnowl,Barn Owl,Tyto alba,L774555,Campus Sur -  Universidad de Chile,2018-10-02 12:31,1.0,-33.5708994,-70.6356955,False,-1,Región Metropolitana de Santiago
gyhsif1,Gray-hooded Sierra Finch,Phrygilus gayi,L726832,PN Río Clarillo,2018-10-02 11:30,2.0,-33.7303895,-70.4674459,False,-1,Región Metropolitana de Santiago
