REGION,COMUNA,NUMERO INCENDIOS ,PINO INSIGNE    0- 10 AÑOS,PINO INSIGNE    11- 17 AÑOS,PINO INSIGNE      18 O MAS,TOTAL PINO INSIGNE,EUCALIPTO,OTRAS SP.,TOTAL,ARBOLADO,MATORRAL,PASTIZAL,TOTAL,TOTAL  FORESTAL ,AGRICOLA,DESECHOS,TOTAL OTRAS SUPERFICIES,TOTAL SUPERFICIE AFECTADA
IX,LONCOCHE,5,"0,00","0,00","0,00","0,00","2,00","0,00","2,00","0,50","0,87","0,00","1,37","3,37","0,00","5,00","5,00","8,37"
IX,VILLARRICA,3,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,10","0,00","0,10","0,10","0,00","0,31","0,31","0,41"
IX,PUCON,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,30","0,00","0,30","0,30","0,00","0,70","0,70","1,00"
IX,CURARREHUE,,,,,,,,,,,,,,,,,
IX,MELIPEUCO,6,"0,00","0,00","0,00","0,00","0,15","0,00","0,15","0,11","0,55","0,05","0,71","0,86","0,00","0,11","0,11","0,97"
IX,TEODORO SCHMIDT,,,,,,,,,,,,,,,,,
IX,PADRE LAS CASAS,26,"0,12","0,00","0,02","0,14","0,61","0,00","0,75","6,00","6,92","0,06","12,98","13,73","0,00","38,81","38,81","52,54"
XIV,VALDIVIA,8,"0,00","0,00","0,00","0,00","0,02","0,00","0,02","3,20","1,58","0,08","4,86","4,88","0,00","0,30","0,30","5,18"
XIV,MARIQUINA,15,"0,00","0,00","0,00","0,00","0,70","0,00","0,70","0,00","16,17","0,60","16,77","17,47","3,50","5,70","9,20","26,67"
XIV,LANCO,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00","0,01","0,01","0,00","0,00","0,00","0,01"
XIV,LOS LAGOS,17,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4,59","0,00","4,59","4,59","0,00","0,00","0,00","4,59"
XIV,CORRAL,6,"0,00","0,00","0,00","0,00","0,20","0,00","0,20","0,00","1,41","0,00","1,41","1,61","0,00","0,00","0,00","1,61"
XIV,MAFIL,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,15","0,17","0,00","0,32","0,32","0,00","7,00","7,00","7,32"
XIV,PANGUIPULLI,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,25","0,00","0,25","0,25","0,00","0,00","0,00","0,25"
XIV,PAILLACO,7,"0,00","0,00","0,00","0,00","3,50","0,00","3,50","0,20","2,11","0,50","2,80","6,30","0,00","0,50","0,50","6,80"
XIV,LA UNIÓN,18,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","12,81","4,36","17,17","17,17","0,00","8,60","8,60","25,77"
XIV,FUTRONO,,,,,,,,,,,,,,,,,
XIV,RÍO BUENO,3,"0,00","0,00","0,00","0,00","0,50","0,00","0,50","0,00","1,60","1,20","2,80","3,30","8,00","5,00","13,00","16,30"
XIV,LAGO RANCO,,,,,,,,,,,,,,,,,
X,OSORNO,3,"0,00","0,00","0,00","0,00","1,70","0,00","1,70","6,10","0,00","0,90","7,00","8,70","0,00","32,00","32,00","40,70"
X,SAN PABLO,3,"0,00","0,55","0,00","0,55","0,20","0,00","0,75","0,00","0,50","0,00","0,50","1,25","3,00","1,95","4,95","6,20"
X,PEYUHUE,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,10","0,00","0,10","0,10","0,00","0,20","0,20","0,30"
X,PUERTO OCTAY,,,,,,,,,,,,,,,,,
X,ENTRE LAGOS,,,,,,,,,,,,,,,,,
X,RIO NEGRO,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,70","0,00","0,70","0,70","0,00","0,00","0,00","0,70"
