REGION,COMUNA,NUMERO INCENDIOS ,PINO INSIGNE    0- 10 AÑOS,PINO INSIGNE    11- 17 AÑOS,PINO INSIGNE      18 O MAS,TOTAL PINO INSIGNE,EUCALIPTO,OTRAS SP.,TOTAL,ARBOLADO,MATORRAL,PASTIZAL,TOTAL,TOTAL  FORESTAL ,AGRICOLA,DESECHOS,TOTAL OTRAS SUPERFICIES,TOTAL SUPERFICIE AFECTADA
IV,PAIHUANO,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2,00","0,60","2,60","2,60","0,00","0,00","0,00","2,60"
IV,VICUNA,3,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","9,40","12,17","0,00","21,57","21,57","0,00","0,00","0,00","21,57"
IV,COMBARBALA,,,,,,,,,,,,,,,,,
IV,MONTE PATRIA,5,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","45,00","52,41","21,10","118,51","118,51","5,00","0,10","5,10","123,61"
IV,OVALLE,17,"0,00","0,00","0,00","0,00","9,50","0,00","9,50","8,69","8,90","4,76","22,35","31,85","0,00","0,01","0,01","31,85"
IV,PUNITAQUI,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","2,00","20,00","8,00","30,00","30,00","0,00","10,00","10,00","40,00"
IV,RIO HURTADO,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,10","0,30","0,10","0,50","0,50","0,00","0,00","0,00","0,50"
IV,CANELA,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,01","0,01","0,00","0,00","0,00","0,01"
IV,ILLAPEL,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,50","1,00","0,50","2,00","2,00","0,00","0,00","0,00","2,00"
IV,LOS VILOS,7,"0,00","0,00","0,00","0,00","0,00","2,00","2,00","675,12","771,11","115,71","1.561,93","1.563,93","0,00","0,00","0,00","1.563,93"
IV,MINCHA,,,,,,,,,,,,,,,,,
IV,SALAMANCA,9,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","32,30","112,81","108,52","253,62","253,62","0,00","0,00","0,00","253,62"
V,CABILDO,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","5,17","0,33","5,50","5,50","0,00","0,00","0,00","5,50"
V,LA LIGUA,10,"0,00","0,00","0,00","0,00","0,12","0,00","0,12","76,01","212,73","50,54","339,28","339,40","0,00","0,01","0,01","339,41"
V,PAPUDO,,,,,,,,,,,,,,,,,
V,PETORCA,,,,,,,,,,,,,,,,,
V,ZAPALLAR,3,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,07","0,31","0,38","0,38","0,00","0,00","0,00","0,38"
V,CALLE LARGA,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,03","0,06","0,09","0,09","0,00","0,00","0,00","0,09"
V,LOS ANDES,5,"0,00","0,00","0,00","0,00","0,09","0,00","0,09","0,00","0,32","0,26","0,58","0,67","0,00","0,00","0,00","0,67"
V,RINCONADA,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,03","0,03","0,03","0,00","0,00","0,00","0,03"
V,SAN ESTEBAN,5,"0,00","0,00","0,00","0,00","0,10","0,00","0,10","0,40","0,35","0,24","0,99","1,09","0,00","0,00","0,00","1,09"
V,CATEMU,8,"0,00","0,00","0,00","0,00","0,01","0,00","0,01","1,46","6,54","2,50","10,50","10,51","3,00","0,30","3,30","13,81"
V,LLAILLAY,6,"0,00","0,00","0,00","0,00","0,01","0,09","0,10","0,00","1,59","2,24","3,83","3,93","0,00","0,00","0,00","3,93"
V,PANQUEHUE,10,"0,00","0,00","0,00","0,00","2,00","0,06","2,06","61,37","74,66","45,56","181,59","183,65","0,00","0,20","0,20","183,85"
V,PUTAENDO ,3,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,03","0,12","0,15","0,15","0,00","0,00","0,00","0,15"
V,SAN FELIPE,5,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,15","9,93","7,63","17,71","17,71","0,00","0,00","0,00","17,71"
V,SANTA MARIA,,,,,,,,,,,,,,,,,
V,HIJUELAS,5,"0,00","0,00","0,00","0,00","0,21","0,00","0,21","0,01","0,02","0,35","0,38","0,59","0,00","0,15","0,15","0,74"
V,CALERA,24,"0,00","0,00","0,00","0,00","0,34","0,00","0,34","0,37","7,85","5,05","13,27","13,61","0,00","1,11","1,11","14,72"
V,LA CRUZ,2,"0,00","0,00","0,00","0,00","0,09","0,00","0,09","0,00","0,01","0,04","0,05","0,14","0,00","0,02","0,02","0,16"
