SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,FAMILY_CODE
Turdus rubrocanus gouldii,Chestnut Thrush (Gray-headed),chethr3,issf,28276.0,Passeriformes,Thrushes and Allies,Turdidae,turdid1
Turdus torquatus,Ring Ouzel,rinouz1,species,28277.0,Passeriformes,Thrushes and Allies,Turdidae,turdid1
Turdus torquatus torquatus,Ring Ouzel (Northern),rinouz2,issf,28278.0,Passeriformes,Thrushes and Allies,Turdidae,turdid1
Turdus torquatus alpestris,Ring Ouzel (Alpine),rinouz3,issf,28279.0,Passeriformes,Thrushes and Allies,Turdidae,turdid1
Turdus torquatus amicorum,Ring Ouzel (Caucasian),rinouz4,issf,28280.0,Passeriformes,Thrushes and Allies,Turdidae,turdid1
Turdus atrogularis,Black-throated Thrush,datthr1,species,28281.0,Passeriformes,Thrushes and Allies,Turdidae,turdid1
Turdus ruficollis,Red-throated Thrush,retthr1,species,28282.0,Passeriformes,Thrushes and Allies,Turdidae,turdid1
Turdus atrogularis x ruficollis,Black-throated x Red-throated Thrush (hybrid),x00644,hybrid,28283.0,Passeriformes,Thrushes and Allies,Turdidae,turdid1
Turdus atrogularis/ruficollis,Black-throated/Red-throated Thrush,y01202,slash,28284.0,Passeriformes,Thrushes and Allies,Turdidae,turdid1
Turdus eunomus,Dusky Thrush,dusthr2,species,28285.0,Passeriformes,Thrushes and Allies,Turdidae,turdid1
Turdus naumanni,Naumann's Thrush,dusthr1,species,28286.0,Passeriformes,Thrushes and Allies,Turdidae,turdid1
Turdus eunomus x naumanni,Dusky x Naumann's Thrush (hybrid),x00973,hybrid,28287.0,Passeriformes,Thrushes and Allies,Turdidae,turdid1
Turdus eunomus/naumanni,Dusky/Naumann's Thrush,dusthr,slash,28288.0,Passeriformes,Thrushes and Allies,Turdidae,turdid1
Turdus sp.,Turdus sp.,turdus1,spuh,28289.0,Passeriformes,Thrushes and Allies,Turdidae,turdid1
Turdidae sp.,thrush sp.,thrush1,spuh,28290.0,Passeriformes,Thrushes and Allies,Turdidae,turdid1
Muscicapa griseisticta,Gray-streaked Flycatcher,gysfly1,species,28292.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Muscicapa sibirica,Dark-sided Flycatcher,dasfly,species,28293.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Muscicapa sibirica sibirica,Dark-sided Flycatcher (Siberian),dasfly1,issf,28294.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Muscicapa sibirica [cacabata Group],Dark-sided Flycatcher (Himalayan),dasfly5,issf,28295.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Muscicapa griseisticta/sibirica,Gray-streaked/Dark-sided Flycatcher,y01085,slash,28299.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Muscicapa ferruginea,Ferruginous Flycatcher,ferfly1,species,28300.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Muscicapa dauurica,Asian Brown Flycatcher,asbfly,species,28301.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Muscicapa dauurica dauurica,Asian Brown Flycatcher (Northern),asbfly2,issf,28302.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Muscicapa dauurica poonensis/siamensis,Asian Brown Flycatcher (Southern),asbfly3,issf,28303.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Muscicapa randi,Ashy-breasted Flycatcher,asbfly1,species,28306.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Muscicapa segregata,Sumba Brown Flycatcher,subfly2,species,28307.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Muscicapa muttui,Brown-breasted Flycatcher,brbfly2,species,28308.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Muscicapa sodhii,Sulawesi Brown Flycatcher,subfly3,species,28309.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Muscicapa williamsoni,Brown-streaked Flycatcher,bnsfly1,species,28310.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Muscicapa williamsoni williamsoni,Brown-streaked Flycatcher (Brown-streaked),bnsfly2,issf,28311.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Muscicapa williamsoni umbrosa,Brown-streaked Flycatcher (Umber),bnsfly3,issf,28312.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Muscicapa dauurica/williamsoni,Asian Brown/Brown-streaked Flycatcher,y00754,slash,28313.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Muscicapa adusta,African Dusky Flycatcher,afdfly1,species,28314.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Muscicapa epulata,Little Flycatcher,ligfly2,species,28325.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Muscicapa sethsmithi,Yellow-footed Flycatcher,yeffly1,species,28326.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Muscicapa striata,Spotted Flycatcher,spofly1,species,28327.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Muscicapa striata [striata Group],Spotted Flycatcher (Spotted),spofly2,issf,28328.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Muscicapa striata tyrrhenica/balearica,Spotted Flycatcher (Mediterranean),spofly3,issf,28334.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Muscicapa gambagae,Gambaga Flycatcher,gamfly1,species,28337.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Muscicapa aquatica,Swamp Flycatcher,swafly3,species,28338.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Muscicapa cassini,Cassin's Flycatcher,casfly1,species,28343.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Muscicapa sp.,Muscicapa sp.,muscic1,spuh,28344.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Bradornis boehmi,Böhm's Flycatcher,boefly1,species,28345.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Bradornis ussheri,Ussher's Flycatcher,ussfly1,species,28346.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Bradornis fuliginosus,Sooty Flycatcher,soofly1,species,28347.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Bradornis comitatus,Dusky-blue Flycatcher,dubfly2,species,28350.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Bradornis mariquensis,Marico Flycatcher,marfly1,species,28354.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Bradornis microrhynchus,African Gray Flycatcher,afgfly1,species,28358.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Bradornis microrhynchus pumilus,African Gray Flycatcher (Ethiopian),grafly2,issf,28359.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Bradornis microrhynchus [microrhynchus Group],African Gray Flycatcher (African Gray),grafly1,issf,28360.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Bradornis sp.,Bradornis sp.,brador1,spuh,28365.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Muscicapa/Bradornis sp.,Muscicapa/Bradornis sp.,y01003,spuh,28366.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Agricola pallidus,Pale Flycatcher,palfly2,species,28367.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Agricola pallidus [pallidus Group],Pale Flycatcher (Pale),palfly6,issf,28368.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Agricola pallidus bafirawari,Pale Flycatcher (Wajir),palfly4,issf,28379.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Agricola pallidus subalaris/erlangeri,Pale Flycatcher (East Coast),palfly5,issf,28380.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Agricola infuscatus,Chat Flycatcher,chafly2,species,28383.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Fraseria cinerascens,White-browed Forest-Flycatcher,wbffly1,species,28389.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Fraseria ocreata,African Forest-Flycatcher,afffly1,species,28392.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Fraseria ocreata prosphora/kelsalli,African Forest-Flycatcher (Western),afrfof1,issf,28393.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Fraseria ocreata ocreata,African Forest-Flycatcher (Eastern),afrfof2,issf,28396.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Fraseria griseigularis,Gray-throated Tit-Flycatcher,gyttif1,species,28397.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Fraseria plumbea,Gray Tit-Flycatcher,grytif1,species,28400.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Fraseria olivascens,Olivaceous Flycatcher,olifly1,species,28404.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Fraseria olivascens olivascens,Olivaceous Flycatcher (Olivaceous),olifly4,issf,28405.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Fraseria olivascens nimbae,Olivaceous Flycatcher (Mt. Nimba),olifly5,issf,28406.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Fraseria lendu,Chapin's Flycatcher,chafly1,species,28407.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Fraseria lendu lendu,Chapin's Flycatcher (Chapin's),chafly5,issf,28408.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Fraseria lendu itombwensis,Chapin's Flycatcher (Itombwe),chafly4,issf,28409.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Fraseria tessmanni,Tessmann's Flycatcher,tesfly1,species,28410.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Fraseria caerulescens,Ashy Flycatcher,ashfly1,species,28411.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Melaenornis herero,Herero Chat,hercha1,species,28418.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Melaenornis semipartitus,Silverbird,silver1,species,28419.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Melaenornis silens,Fiscal Flycatcher,fisfly1,species,28420.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Melaenornis ardesiacus,Yellow-eyed Black-Flycatcher,yebfly2,species,28421.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Melaenornis annamarulae,Nimba Flycatcher,nimfly1,species,28422.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Melaenornis edolioides,Northern Black-Flycatcher,nobfly1,species,28423.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Melaenornis pammelaina,Southern Black-Flycatcher,sobfly1,species,28427.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Melaenornis fischeri,White-eyed Slaty-Flycatcher,wheslf1,species,28433.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Melaenornis brunneus,Angola Slaty-Flycatcher,angslf1,species,28438.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Melaenornis chocolatinus,Abyssinian Slaty-Flycatcher,abyslf1,species,28441.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Humblotia flavirostris,Grande Comore Flycatcher,grcfly3,species,28444.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Alethe diademata,White-tailed Alethe,ficale3,species,28445.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Alethe castanea,Fire-crested Alethe,ficale2,species,28446.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cercotrichas coryphoeus,Karoo Scrub-Robin,kasrob2,species,28449.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cercotrichas leucosticta,Forest Scrub-Robin,fosrob1,species,28452.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cercotrichas leucosticta [leucosticta Group],Forest Scrub-Robin (Forest),forscr2,issf,28453.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cercotrichas leucosticta reichenowi,Forest Scrub-Robin (Huila),forscr3,issf,28457.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cercotrichas signata,Brown Scrub-Robin,brsrob1,species,28458.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cercotrichas quadrivirgata,Bearded Scrub-Robin,besrob1,species,28461.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cercotrichas quadrivirgata quadrivirgata,Bearded Scrub-Robin (Bearded),beascr1,issf,28462.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cercotrichas quadrivirgata greenwayi,Bearded Scrub-Robin (Zanzibar),beascr2,issf,28463.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cercotrichas barbata,Miombo Scrub-Robin,misrob1,species,28464.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cercotrichas podobe,Black Scrub-Robin,blsrob1,species,28465.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cercotrichas galactotes,Rufous-tailed Scrub-Robin,rutscr1,species,28468.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cercotrichas galactotes [galactotes Group],Rufous-tailed Scrub-Robin (Rufous-tailed),rtsrob1,issf,28469.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cercotrichas galactotes minor/hamertoni,Rufous-tailed Scrub-Robin (African),afrscr1,issf,28473.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cercotrichas paena,Kalahari Scrub-Robin,kasrob1,species,28476.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cercotrichas hartlaubi,Brown-backed Scrub-Robin,bbsrob1,species,28481.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cercotrichas leucophrys,Red-backed Scrub-Robin,rbsrob1,species,28482.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cercotrichas leucophrys [leucoptera Group],Red-backed Scrub-Robin (White-winged),rebscr1,issf,28483.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cercotrichas leucophrys [leucophrys Group],Red-backed Scrub-Robin (Red-backed),rebscr2,issf,28487.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cercotrichas sp.,scrub-robin sp.,scrubr1,spuh,28494.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Copsychus fulicatus,Indian Robin,indrob1,species,28495.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Copsychus saularis,Oriental Magpie-Robin,magrob,species,28501.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Copsychus saularis [saularis Group],Oriental Magpie-Robin (Oriental),orimar1,issf,28502.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Copsychus saularis [amoenus Group],Oriental Magpie-Robin (Black),orimar2,issf,28507.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Copsychus pyrropygus,Rufous-tailed Shama,rutsha2,species,28511.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Copsychus albospecularis,Madagascar Magpie-Robin,mamrob1,species,28512.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Copsychus albospecularis albospecularis,Madagascar Magpie-Robin (Black-bellied),madmar1,issf,28513.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Copsychus albospecularis inexspectatus,Madagascar Magpie-Robin (White-bellied),madmar2,issf,28514.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Copsychus albospecularis pica,Madagascar Magpie-Robin (White-winged),madmar3,issf,28515.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Copsychus sechellarum,Seychelles Magpie-Robin,semrob1,species,28516.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Copsychus mindanensis,Philippine Magpie-Robin,phimar1,species,28517.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Copsychus malabaricus,White-rumped Shama,whrsha,species,28518.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Copsychus malabaricus [malabaricus Group],White-rumped Shama (White-rumped),whrsha1,issf,28519.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Copsychus malabaricus ngae,White-rumped Shama (Long-tailed),whrsha18,issf,28528.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Copsychus malabaricus [melanurus Group],White-rumped Shama (Barusan),whrsha3,issf,28529.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Copsychus stricklandii,White-crowned Shama,whrsha2,species,28534.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Copsychus albiventris,Andaman Shama,andsha1,species,28537.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Copsychus luzoniensis,White-browed Shama,whbsha1,species,28538.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Copsychus superciliaris,Visayan Shama,vissha1,species,28542.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Copsychus niger,White-vented Shama,whvsha1,species,28543.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Copsychus cebuensis,Black Shama,blasha1,species,28544.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Leucoptilon concretum,White-tailed Flycatcher,whtfly2,species,28545.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Sholicola major,Nilgiri Sholakili,whbsho1,species,28549.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Sholicola albiventris,White-bellied Sholakili,whbsho3,species,28550.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Niltava grandis,Large Niltava,larnil1,species,28553.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Niltava grandis [grandis Group],Large Niltava (Large),larnil6,issf,28554.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Niltava grandis decorata,Large Niltava (Dalat),larnil4,issf,28558.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Niltava macgrigoriae,Small Niltava,smanil1,species,28559.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Niltava davidi,Fujian Niltava,fujnil1,species,28562.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Niltava sundara,Rufous-bellied Niltava,rubnil1,species,28563.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Niltava sumatrana,Rufous-vented Niltava,ruvnil1,species,28567.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Niltava oatesi,Chinese Vivid Niltava,vivnil2,species,28568.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Niltava vivida,Taiwan Vivid Niltava,vivnil3,species,28569.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Niltava sp.,niltava sp.,niltav1,spuh,28570.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyanoptila cyanomelana,Blue-and-white Flycatcher,bawfly2,species,28571.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyanoptila cumatilis,Zappey's Flycatcher,zapfly1,species,28574.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyanoptila cyanomelana/cumatilis,Blue-and-white/Zappey's Flycatcher,y00911,slash,28575.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Eumyias sanfordi,Matinan Flycatcher,matfly2,species,28576.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Eumyias hoevelli,Blue-fronted Flycatcher,blffly1,species,28577.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Eumyias hyacinthinus,Timor Blue Flycatcher,tibfly2,species,28578.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Eumyias oscillans,Flores Jungle Flycatcher,flojuf2,species,28581.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Eumyias stresemanni,Sumba Jungle Flycatcher,flojuf1,species,28582.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Eumyias sordidus,Dull-blue Flycatcher,dubfly3,species,28583.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Eumyias albicaudatus,Nilgiri Flycatcher,nilfly2,species,28584.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Eumyias indigo,Indigo Flycatcher,indfly1,species,28585.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Eumyias indigo ruficrissa/cerviniventris,Indigo Flycatcher (Rufous-vented),indfly2,issf,28586.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Eumyias indigo indigo,Indigo Flycatcher (Javan),indfly3,issf,28589.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Eumyias thalassinus,Verditer Flycatcher,verfly4,species,28590.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Eumyias albicaudatus/thalassinus,Nilgiri/Verditer Flycatcher,y01103,slash,28593.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Eumyias additus,Buru Jungle Flycatcher,burjuf1,species,28594.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Eumyias panayensis,Turquoise Flycatcher,islfly1,species,28595.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Anthipes monileger,White-gorgeted Flycatcher,whgfly1,species,28603.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Anthipes solitaris,Rufous-browed Flycatcher,rubfly3,species,28607.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis ruckii,Rück's Blue Flycatcher,rubfly1,species,28611.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis herioti,Blue-breasted Blue Flycatcher,bubfly1,species,28612.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis camarinensis,Rufous-breasted Blue Flycatcher,bubfly2,species,28613.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis herioti/camarinensis,Blue-breasted/Rufous-breasted Blue Flycatcher,blbfly3,slash,28614.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis hainanus,Hainan Blue Flycatcher,habfly1,species,28615.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis pallidipes,White-bellied Blue Flycatcher,wbbfly1,species,28618.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis poliogenys,Pale-chinned Flycatcher,pacblf1,species,28619.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis unicolor,Pale Blue Flycatcher,pabfly2,species,28624.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis unicolor unicolor,Pale Blue Flycatcher (Unicolored),pabfly3,issf,28625.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis unicolor diaoluoensis,Pale Blue Flycatcher (Diao Luo),pabfly4,issf,28626.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis unicolor cyanopolia,Pale Blue Flycatcher (Hartert's),pabfly5,issf,28627.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis rubeculoides,Blue-throated Flycatcher,butfly1,species,28628.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis rubeculoides rubeculoides,Blue-throated Flycatcher (Blue-throated),butfly3,issf,28629.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis rubeculoides dialilaemus/rogersi,Blue-throated Flycatcher (Notch-throated),butfly6,issf,28630.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis glaucicomans,Chinese Blue Flycatcher,butfly2,species,28633.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis rubeculoides/glaucicomans,Blue-throated/Chinese Blue Flycatcher,bltfly2,slash,28634.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis magnirostris,Large Blue Flycatcher,larblf1,species,28635.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis whitei,Hill Blue Flycatcher,hibfly1,species,28636.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis magnirostris/whitei,Large/Hill Blue Flycatcher,y01092,slash,28641.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis banyumas,Javan Blue Flycatcher,hibfly3,species,28642.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis montanus,Dayak Blue Flycatcher,hibfly4,species,28645.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis kadayangensis,Meratus Blue Flycatcher,merjuf1,species,28646.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis caerulatus,Sunda Blue Flycatcher,lobblf1,species,28647.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis turcosus,Malaysian Blue Flycatcher,mabfly1,species,28651.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis lemprieri,Palawan Blue Flycatcher,pabfly1,species,28652.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis superbus,Bornean Blue Flycatcher,bobfly2,species,28653.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis tickelliae,Tickell's Blue Flycatcher,tibfly3,species,28654.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis poliogenys x tickelliae,Pale-chinned x Tickell's Blue Flycatcher (hybrid),x00927,hybrid,28657.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis rubeculoides/tickelliae,Blue-throated/Tickell's Blue Flycatcher,y01069,slash,28658.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis sumatrensis,Indochinese Blue Flycatcher,tibfly4,species,28659.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis rufigastra,Mangrove Blue Flycatcher,mabfly2,species,28663.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis rufigastra [rufigastra Group],Mangrove Blue Flycatcher (Mangrove),manblf1,issf,28664.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis rufigastra [blythi Group],Mangrove Blue Flycatcher (Philippine),manblf2,issf,28669.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis omissus,Sulawesi Blue Flycatcher,subfly1,species,28674.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis omissus [omissus Group],Sulawesi Blue Flycatcher (Sulawesi),sulblf1,issf,28675.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis omissus djampeanus,Sulawesi Blue Flycatcher (Tanahjampea),subfly4,issf,28679.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis kalaoensis,Kalao Blue Flycatcher,subfly5,species,28680.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis brunneatus,Brown-chested Jungle Flycatcher,bncjuf1,species,28681.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis nicobaricus,Nicobar Jungle Flycatcher,nicjuf1,species,28682.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis umbratilis,Gray-chested Jungle Flycatcher,gycjuf1,species,28683.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis olivaceus,Fulvous-chested Jungle Flycatcher,fucjuf1,species,28684.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
Cyornis ruficauda,Chestnut-tailed Jungle Flycatcher,chtjuf1,species,28687.0,Passeriformes,Old World Flycatchers,Muscicapidae,muscic3
