REGION,COMUNA,NUMERO INCENDIOS ,PINO INSIGNE    0- 10 AÑOS,PINO INSIGNE    11- 17 AÑOS,PINO INSIGNE      18 O MAS,TOTAL PINO INSIGNE,EUCALIPTO,OTRAS SP.,TOTAL,ARBOLADO,MATORRAL,PASTIZAL,TOTAL.1,TOTAL  FORESTAL ,AGRICOLA,DESECHOS,TOTAL OTRAS SUPERFICIES,TOTAL SUPERFICIE AFECTADA
RM,ELMONTE,4.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,5.3,4.11,9.41,9.61,0.00,0.00,0.00,9.61
RM,ISLADEMAIPO,5.0,0.0,0.0,0.0,0.0,4.4,1.5,5.9,2.0,11.9,6.8,20.7,26.60,0.00,0.00,0.00,26.60
RM,PADREHURTADO,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,87.0,196.1,344.1,344.10,0.00,0.00,0.00,344.10
RM,MELIPILLA,53.0,0.0,0.0,0.0,0.0,4.7,0.4,5.1,35.3,175.1,294.95,505.35,510.45,0.00,0.10,0.10,510.55
RM,MARIAPINTO,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,3.3,10.5,15.0,15.00,0.00,9.50,9.50,24.50
RM,SANPEDRO,18.0,0.0,0.0,0.0,0.0,152.72,0.0,152.72,6.23,34.82,45.46,86.51,239.23,5.83,0.00,5.83,245.06
RM,CURACAVI,29.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,9.3,23.36,40.93,73.59,74.09,0.00,0.01,0.01,74.10
RM,ALHUE,7.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,1.55,2.87,3.93,8.35,8.46,0.00,0.00,0.00,8.46
RM,SANTIAGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RM,INDEPENDENCIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RM,RECOLETA,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.7,1.3,2.0,2.10,0.00,0.00,0.00,2.10
RM,ESTACIONCENTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RM,CONCHALI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,10.0,10.00,0.00,0.00,0.00,10.00
RM,HUECHURABA,9.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.7,2.49,8.54,11.73,11.76,0.00,0.00,0.00,11.76
RM,QUILICURA,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,27.0,27.00,0.00,0.00,0.00,27.00
RM,RENCA,12.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.1,3.2,13.72,17.02,19.02,0.00,0.00,0.00,19.02
RM,QUINTANORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RM,PUDAHUEL,5.0,0.0,0.0,0.0,0.0,0.5,0.1,0.6,0.0,2.9,8.1,11.0,11.60,0.00,0.00,0.00,11.60
RM,CERRONAVIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RM,LOPRADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RM,MAIPU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.5,0.50,0.00,0.00,0.00,0.50
RM,PEDROAGUIRRECERDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RM,CERRILLOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RM,LOESPEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RM,LAPINTANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RM,ELBOSQUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RM,LAFLORIDA,3.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,0.5,4.3,9.2,14.0,15.5,0,0,0,15.5
